"Name of College","City","State","Minimum Score Required"
"Kent State University: Salem","Salem","Ohio (OH)","3"
"Kent State University: Stark","North Canton","Ohio (OH)","3"
"Kent State University: Trumbull","Warren","Ohio (OH)","3"
"Kent State University: Tuscarawas","New Philadelphia","Ohio (OH)","3"
"Kentucky Mountain Bible College","Jackson","Kentucky (KY)","3"
"King University","Bristol","Tennessee (TN)","4"
"King's College","Wilkes Barre","Pennsylvania (PA)","3"
"Kishwaukee College","Malta","Illinois (IL)","3"
"Kutztown University of Pennsylvania","Kutztown","Pennsylvania (PA)","3"
"Lake Erie College","Painesville","Ohio (OH)","4"
"Lake Region State College","Devils Lake","North Dakota (ND)","3"
"Lake Superior State University","Sault Sainte Marie","Michigan (MI)","3"
"Lake Washington Institute of Technology","Kirkland","Washington (WA)","3"
"Lake-Sumter State College","Leesburg","Florida (FL)","3"
"Landmark College","Putney","Vermont (VT)","3"
"Laney College","Oakland","California (CA)","4"
"Lasell University","Auburndale","Massachusetts (MA)","3"
"Laurel Ridge Community College","Middletown","Virginia (VA)","3"
"Lawrence Technological University","Southfield","Michigan (MI)","4"
"Lawrence University","Appleton","Wisconsin (WI)","4"
"LeTourneau University","Longview","Texas (TX)","3"
"Lebanon Valley College","Annville","Pennsylvania (PA)","4"
"Lehigh Carbon Community College","Schnecksville","Pennsylvania (PA)","3"
"Lenoir Community College","Kinston","North Carolina (NC)","3"
"Liberty University","Lynchburg","Virginia (VA)","3"
"Lincoln Land Community College","Springfield","Illinois (IL)","3"
"Lindenwood University","Saint Charles","Missouri (MO)","3"
"Lipscomb University","Nashville","Tennessee (TN)","4"
"Lone Star College System","Spring","Texas (TX)","3"
"Longwood University","Farmville","Virginia (VA)","3"
"Loras College","Dubuque","Iowa (IA)","3"
"Louisiana Christian University","Pineville","Louisiana (LA)","3"
"Louisiana State University And Agricultural And Mechanical College","Baton Rouge","Louisiana (LA)","3"
"Louisiana State University at Alexandria","Alexandria","Louisiana (LA)","4"
"Lower Columbia College","Longview","Washington (WA)","3"
"Loyola Marymount University","Los Angeles","California (CA)","4"
"Loyola University Chicago","Chicago","Illinois (IL)","4"
"Loyola University Maryland","Baltimore","Maryland (MD)","3"
"Lynn University","Boca Raton","Florida (FL)","3"
"Lyon College","Batesville","Arkansas (AR)","3"
"Macomb Community College","Warren","Michigan (MI)","3"
