"Name of College","City","State","Minimum Score Required"
"Purdue University Fort Wayne","Fort Wayne","Indiana (IN)","3"
"Queens University of Charlotte","Charlotte","North Carolina (NC)","4"
"Quincy University","Quincy","Illinois (IL)","3"
"Ramapo College of New Jersey","Mahwah","New Jersey (NJ)","4"
"Reading Area Community College","Reading","Pennsylvania (PA)","3"
"Renton Technical College","Renton","Washington (WA)","3"
"Richland Community College","Decatur","Illinois (IL)","3"
"Rider University","Lawrence Township","New Jersey (NJ)","3"
"Rio Salado College","Tempe","Arizona (AZ)","3"
"Roane State Community College","Harriman","Tennessee (TN)","3"
"Roanoke College","Salem","Virginia (VA)","4"
"Rochester Institute of Technology","Rochester","New York (NY)","3"
"Rock Valley College","Rockford","Illinois (IL)","3"
"Rockford University","Rockford","Illinois (IL)","3"
"Roger Williams University","Bristol","Rhode Island (RI)","3"
"Rowan University","Glassboro","New Jersey (NJ)","3"
"Rutgers The State University Of New Jersey Camden Campus","Camden","New Jersey (NJ)","4"
"SUNY  Oneonta","Oneonta","New York (NY)","3"
"SUNY At Binghamton","Binghamton","New York (NY)","3"
"SUNY Buffalo State University","Buffalo","New York (NY)","3"
"SUNY College at Brockport","Brockport","New York (NY)","3"
"SUNY College at Cortland","Cortland","New York (NY)","3"
"SUNY College at Plattsburgh","Plattsburgh","New York (NY)","3"
"SUNY College at Potsdam","Potsdam","New York (NY)","3"
"SUNY College of Agriculture and Technology at Cobleskill","Cobleskill","New York (NY)","3"
"SUNY College of Technology at Canton","Canton","New York (NY)","4"
"SUNY Fredonia","Fredonia","New York (NY)","3"
"SUNY Purchase College","Purchase","New York (NY)","3"
"SUNY University at Albany","Albany","New York (NY)","3"
"SUNY University at Stony Brook","Stony Brook","New York (NY)","3"
"Saginaw Valley State University","University Center","Michigan (MI)","3"
"Saint Johns River State College","Palatka","Florida (FL)","3"
"Saint Leo University","Saint Leo","Florida (FL)","3"
"Saint Louis University","Saint Louis","Missouri (MO)","4"
"Saint Mary's College of California","Moraga","California (CA)","3"
"Saint Michael's College","Colchester","Vermont (VT)","4"
"Saint Petersburg College","St Petersburg","Florida (FL)","3"
"Saint Xavier University","Chicago","Illinois (IL)","3"
"Salisbury University","Salisbury","Maryland (MD)","3"
"San Diego City College","San Diego","California (CA)","3"
"San Diego Mesa College","San Diego","California (CA)","3"
"San Diego Miramar College","San Diego","California (CA)","3"
"San Diego State University","San Diego","California (CA)","3"
"San Francisco State University","San Francisco","California (CA)","3"
"San Jose State University","San Jose","California (CA)","3"
"Santa Barbara City College","Santa Barbara","California (CA)","3"
"Santa Fe College","Gainesville","Florida (FL)","3"
"Santiago Canyon College","Orange","California (CA)","3"
"Savannah College of Art and Design","Savannah","Georgia (GA)","4"
"Scottsdale Community College","Scottsdale","Arizona (AZ)","3"
"Seattle Pacific University","Seattle","Washington (WA)","3"
"Seminole State College of Florida","Sanford","Florida (FL)","3"
"Seton Hill University","Greensburg","Pennsylvania (PA)","3"
"Shenandoah University","Winchester","Virginia (VA)","3"
"Shepherd University","Shepherdstown","West Virginia (WV)","3"
"Shippensburg University of Pennsylvania","Shippensburg","Pennsylvania (PA)","3"
"Siena Heights University","Adrian","Michigan (MI)","3"
"Sierra Nevada University","Incline Village","Nevada (NV)","3"
"Simpson College","Indianola","Iowa (IA)","3"
"Sinclair Community College","Dayton","Ohio (OH)","3"
"Slippery Rock University of Pennsylvania","Slippery Rock","Pennsylvania (PA)","3"
"Somerset Community College","Somerset","Kentucky (KY)","3"
"Sonoma State University","Rohnert Park","California (CA)","3"
"South Dakota School of Mines and Technology","Rapid City","South Dakota (SD)","3"
