"Name of College","City","State","Minimum Score Required"
"Governors State University","University Park","Illinois (IL)","3"
"Graceland University","Lamoni","Iowa (IA)","3"
"Grand Rapids Community College","Grand Rapids","Michigan (MI)","3"
"Grand Valley State University","Allendale","Michigan (MI)","3"
"Grand View University","Des Moines","Iowa (IA)","3"
"Great Basin College","Elko","Nevada (NV)","3"
"Great Falls College Montana State University","Great Falls","Montana (MT)","3"
"Green River College","Auburn","Washington (WA)","3"
"Greenville Technical College","Greenville","South Carolina (SC)","3"
"Greenville University","Greenville","Illinois (IL)","3"
"Grinnell College","Grinnell","Iowa (IA)","4"
"Grossmont College","El Cajon","California (CA)","3"
"Grove City College","Grove City","Pennsylvania (PA)","4"
"Guilford College","Greensboro","North Carolina (NC)","3"
"Gulf Coast State College","Panama City","Florida (FL)","3"
"Gustavus Adolphus College","Saint Peter","Minnesota (MN)","4"
"Hagerstown Community College","Hagerstown","Maryland (MD)","3"
"Hamline University","Saint Paul","Minnesota (MN)","4"
"Hampden-Sydney College","Hampden Sydney","Virginia (VA)","4"
"Hardin-Simmons University","Abilene","Texas (TX)","3"
"Harding University","Searcy","Arkansas (AR)","4"
"Harper College","Palatine","Illinois (IL)","3"
"Harris-Stowe State University","Saint Louis","Missouri (MO)","3"
"Harrisburg Area Community College","Harrisburg","Pennsylvania (PA)","3"
"Hartnell College","Salinas","California (CA)","3"
"Hartwick College","Oneonta","New York (NY)","3"
"Haverford College","Haverford","Pennsylvania (PA)","4"
"Hawaii Pacific University","Honolulu","Hawaii (HI)","4"
"Hazard Community and Technical College","Hazard","Kentucky (KY)","3"
"Heartland Community College","Normal","Illinois (IL)","3"
"Heidelberg University","Tiffin","Ohio (OH)","3"
"Henderson Community College","Henderson","Kentucky (KY)","3"
"Henderson State University","Arkadelphia","Arkansas (AR)","3"
"Henry Ford College","Dearborn","Michigan (MI)","4"
"High Point University","High Point","North Carolina (NC)","4"
"Highland Community College","Freeport","Illinois (IL)","3"
"Hiram College","Hiram","Ohio (OH)","4"
"Hofstra University","Hempstead","New York (NY)","4"
"Hollins University","Roanoke","Virginia (VA)","4"
"Holmes Community College","Goodman","Mississippi (MS)","3"
"Holy Family University","Philadelphia","Pennsylvania (PA)","3"
"Holyoke Community College","Holyoke","Massachusetts (MA)","3"
"Hood College","Frederick","Maryland (MD)","4"
"Hope College","Holland","Michigan (MI)","4"
"Hope International University","Fullerton","California (CA)","3"
"Hopkinsville Community College","Hopkinsville","Kentucky (KY)","3"
"Houghton University","Houghton","New York (NY)","3"
"Houston Community College System","Houston","Texas (TX)","3"
"Howard University","Washington","District Of Columbia (DC)","4"
"Hudson Valley Community College","Troy","New York (NY)","3"
"Huntingdon College","Montgomery","Alabama (AL)","3"
"Huntington University","Huntington","Indiana (IN)","4"
"Husson University","Bangor","Maine (ME)","3"
"Hutchinson Community College","Hutchinson","Kansas (KS)","3"
"Illinois Central College","East Peoria","Illinois (IL)","3"
"Illinois College","Jacksonville","Illinois (IL)","3"
"Illinois Eastern Community Colleges Frontier Community College","Fairfield","Illinois (IL)","3"
"Illinois Eastern Community Colleges Lincoln Trail College","Robinson","Illinois (IL)","3"
"Illinois Eastern Community Colleges Olney Central College","Olney","Illinois (IL)","3"
