"Name of College","City","State","Minimum Score Required"
"Olympic College","Bremerton","Washington (WA)","3"
"Oregon State University","Corvallis","Oregon (OR)","3"
"Owensboro Community and Technical College","Owensboro","Kentucky (KY)","3"
"Park University","Parkville","Missouri (MO)","3"
"Pearl River Community College","Poplarville","Mississippi (MS)","3"
"Pellissippi State Community College","Knoxville","Tennessee (TN)","3"
"Peninsula College","Port Angeles","Washington (WA)","3"
"Penn State Abington","Abington","Pennsylvania (PA)","4"
"Penn State Altoona","Altoona","Pennsylvania (PA)","4"
"Penn State Beaver","Monaca","Pennsylvania (PA)","4"
"Penn State Berks","Reading","Pennsylvania (PA)","4"
"Penn State Brandywine","Media","Pennsylvania (PA)","4"
"Penn State DuBois","Du Bois","Pennsylvania (PA)","4"
"Penn State Fayette, The Eberly Campus","Lemont Furnace","Pennsylvania (PA)","4"
"Penn State Greater Allegheny","McKeesport","Pennsylvania (PA)","4"
"Penn State Harrisburg","Middletown","Pennsylvania (PA)","4"
"Penn State Hazleton","Hazleton","Pennsylvania (PA)","4"
"Penn State Mont Alto","Mont Alto","Pennsylvania (PA)","4"
"Penn State New Kensington","New Kensington","Pennsylvania (PA)","4"
"Penn State Schuylkill","Schuylkill Haven","Pennsylvania (PA)","4"
"Penn State Shenango","Sharon","Pennsylvania (PA)","4"
"Penn State University Park","University Park","Pennsylvania (PA)","4"
"Penn State Wilkes-Barre","Dallas","Pennsylvania (PA)","4"
"Penn State Worthington Scranton","Dunmore","Pennsylvania (PA)","4"
"Penn State York","York","Pennsylvania (PA)","4"
"Pennsylvania College of Technology","Williamsport","Pennsylvania (PA)","3"
"Piedmont University","Demorest","Georgia (GA)","3"
"Pierce College","Lakewood","Washington (WA)","3"
"Pikes Peak State College","Colorado Springs","Colorado (CO)","3"
"Plymouth State University","Plymouth","New Hampshire (NH)","3"
"Point Loma Nazarene University","San Diego","California (CA)","3"
"Portland State University","Portland","Oregon (OR)","3"
"Prairie State College","Chicago Heights","Illinois (IL)","3"
"Providence College","Providence","Rhode Island (RI)","4"
"Purdue University","West Lafayette","Indiana (IN)","3"
"Purdue University Fort Wayne","Fort Wayne","Indiana (IN)","3"
"Quincy University","Quincy","Illinois (IL)","3"
"Radford University","Radford","Virginia (VA)","3"
"Ramapo College of New Jersey","Mahwah","New Jersey (NJ)","4"
"Randolph Community College","Asheboro","North Carolina (NC)","3"
"Red Rocks Community College","Lakewood","Colorado (CO)","3"
"Reed College","Portland","Oregon (OR)","4"
"Regent University","Virginia Beach","Virginia (VA)","3"
"Rensselaer Polytechnic Institute","Troy","New York (NY)","4"
"Renton Technical College","Renton","Washington (WA)","3"
"Rhode Island College","Providence","Rhode Island (RI)","3"
"Rider University","Lawrence Township","New Jersey (NJ)","3"
"Roanoke College","Salem","Virginia (VA)","3"
"Rochester Community and Technical College","Rochester","Minnesota (MN)","3"
"Rochester Institute of Technology","Rochester","New York (NY)","3"
"Roger Williams University","Bristol","Rhode Island (RI)","3"
"Rose-Hulman Institute of Technology","Terre Haute","Indiana (IN)","4"
"Rowan University","Glassboro","New Jersey (NJ)","3"
"Russell Sage College","Troy","New York (NY)","3"
"Rutgers The State University Of New Jersey","New Brunswick","New Jersey (NJ)","4"
"Rutgers The State University Of New Jersey Camden Campus","Camden","New Jersey (NJ)","4"
"Rutgers The State University Of New Jersey Newark Campus","Newark","New Jersey (NJ)","4"
"SUNY At Binghamton","Binghamton","New York (NY)","3"
"SUNY College at Brockport","Brockport","New York (NY)","3"
"SUNY College at Cortland","Cortland","New York (NY)","3"
"SUNY College at Geneseo","Geneseo","New York (NY)","3"
"SUNY College at Plattsburgh","Plattsburgh","New York (NY)","3"
"SUNY College of Technology at Alfred","Alfred","New York (NY)","3"
"SUNY College of Technology at Canton","Canton","New York (NY)","3"
"SUNY Farmingdale State College","Farmingdale","New York (NY)","3"
"SUNY Fredonia","Fredonia","New York (NY)","3"
"SUNY Niagara","Sanborn","New York (NY)","3"
"SUNY University at Albany","Albany","New York (NY)","3"
"SUNY University at Buffalo","Buffalo","New York (NY)","3"
"SUNY University at Stony Brook","Stony Brook","New York (NY)","4"
"Saginaw Valley State University","University Center","Michigan (MI)","3"
"Saint Joseph's University","Philadelphia","Pennsylvania (PA)","4"
"Saint Louis University","Saint Louis","Missouri (MO)","4"
"Saint Mary's College","Notre Dame","Indiana (IN)","4"
"Saint Xavier University","Chicago","Illinois (IL)","3"
"Sam Houston State University","Huntsville","Texas (TX)","3"
"Sample College","Glenwood Springs","Colorado (CO)","1"
"San Diego State University","San Diego","California (CA)","3"
"Santa Clara University","Santa Clara","California (CA)","4"
"Savannah College of Art and Design","Savannah","Georgia (GA)","3"
"Seattle Central College","Seattle","Washington (WA)","3"
"Seattle Pacific University","Seattle","Washington (WA)","3"
"Seattle University","Seattle","Washington (WA)","3"
"Seton Hill University","Greensburg","Pennsylvania (PA)","3"
"Shenandoah University","Winchester","Virginia (VA)","4"
"Shippensburg University of Pennsylvania","Shippensburg","Pennsylvania (PA)","3"
"Shoreline Community College","Shoreline","Washington (WA)","3"
"Siena College","Albany","New York (NY)","4"
"Skagit Valley College","Mount Vernon","Washington (WA)","3"
"Skidmore College","Saratoga Springs","New York (NY)","4"
"Slippery Rock University of Pennsylvania","Slippery Rock","Pennsylvania (PA)","3"
"Somerset Community College","Somerset","Kentucky (KY)","3"
"South Puget Sound Community College","Tumwater","Washington (WA)","3"
"South Seattle College","Seattle","Washington (WA)","3"
"Southeast Kentucky Community and Technical College","Cumberland","Kentucky (KY)","3"
"Southeast Missouri State University","Cape Girardeau","Missouri (MO)","3"
"Southern Connecticut State University","New Haven","Connecticut (CT)","3"
"Southern Illinois University Carbondale","Carbondale","Illinois (IL)","3"
"Southern Illinois University Edwardsville","Edwardsville","Illinois (IL)","3"
"Southern Methodist University","Dallas","Texas (TX)","4"
"Southwest Mississippi Community College","Summit","Mississippi (MS)","3"
"Southwestern University","Georgetown","Texas (TX)","4"
"Spokane Community College","Spokane","Washington (WA)","3"
"Spokane Falls Community College","Spokane","Washington (WA)","3"
"Spring Arbor University","Spring Arbor","Michigan (MI)","3"
"St John Fisher University","Rochester","New York (NY)","3"
"St. Catherine University","Saint Paul","Minnesota (MN)","3"
"St. Clair County Community College","Port Huron","Michigan (MI)","3"
"St. Mary's College of Maryland","Saint Marys City","Maryland (MD)","3"
"Stark State College","North Canton","Ohio (OH)","3"
"State University Of New York At Oswego","Oswego","New York (NY)","3"
"Stetson University","Deland","Florida (FL)","3"
"Stevens Institute of Technology","Hoboken","New Jersey (NJ)","4"
"Stonehill College","North Easton","Massachusetts (MA)","3"
"Suffolk County Community College","Selden","New York (NY)","3"
"Suffolk University","Boston","Massachusetts (MA)","4"
"Swarthmore College","Swarthmore","Pennsylvania (PA)","4"
"Tacoma Community College","Tacoma","Washington (WA)","3"
"Temple University","Philadelphia","Pennsylvania (PA)","3"
"Texas A&M University","College Station","Texas (TX)","3"
"Texas A&M University-Galveston","Galveston","Texas (TX)","3"
"Texas Christian University","Fort Worth","Texas (TX)","4"
"Texas State University","San Marcos","Texas (TX)","3"
"The College of New Jersey","Ewing","New Jersey (NJ)","3"
"Thiel College","Greenville","Pennsylvania (PA)","4"
"Thomas Jefferson University: East Falls","Philadelphia","Pennsylvania (PA)","3"
"Towson University","Towson","Maryland (MD)","3"
"Transylvania University","Lexington","Kentucky (KY)","4"
"Trident Technical College","North Charleston","South Carolina (SC)","3"
"Trinity University","San Antonio","Texas (TX)","4"
"Truman State University","Kirksville","Missouri (MO)","3"
"Tuskegee University","Tuskegee Institute","Alabama (AL)","3"
"University Of Alabama At Birmingham","Birmingham","Alabama (AL)","3"
"University Of Arizona Global Campus San Diego","San Diego","California (CA)","3"
"University Of Chicago","Chicago","Illinois (IL)","5"
"University Of Colorado Denver","Denver","Colorado (CO)","3"
"University Of Connecticut","Storrs Mansfield","Connecticut (CT)","4"
"University Of Illinois Chicago","Chicago","Illinois (IL)","3"
"University Of Illinois Urbana Champaign","Champaign","Illinois (IL)","3"
"University Of Indianapolis","Indianapolis","Indiana (IN)","3"
"University Of Olivet","Olivet","Michigan (MI)","4"
"University Of Tennessee Knoxville","Knoxville","Tennessee (TN)","4"
"University Of Texas Rio Grande Valley","Edinburg","Texas (TX)","3"
"University Of Texas Rio Grande Valley Brownsville","Brownsville","Texas (TX)","3"
"University Of Wisconsin - Green Bay","Green Bay","Wisconsin (WI)","3"
"University Of Wisconsin Parkside","Kenosha","Wisconsin (WI)","3"
"University Of Wisconsin Stevens Point At Marshfield","Marshfield","Wisconsin (WI)","3"
"University Of Wisconsin Stevens Point At Wausau","Wausau","Wisconsin (WI)","3"
"University Of Wisconsin-Milwaukee","Milwaukee","Wisconsin (WI)","3"
"University of Arkansas","Fayetteville","Arkansas (AR)","3"
"University of Arkansas at Little Rock","Little Rock","Arkansas (AR)","3"
"University of California: Berkeley","Berkeley","California (CA)","3"
